2026-04-10 08:55:12,192.168.1.10,alice,SUCCESS
2026-04-10 09:00:03,192.168.1.15,bob,FAIL
2026-04-10 09:01:47,192.168.1.15,bob,FAIL
2026-04-10 09:03:22,192.168.1.15,bob,FAIL
2026-04-10 09:05:10,10.0.0.5,charlie,SUCCESS
2026-04-10 09:06:55,172.16.0.8,david,FAIL
2026-04-10 09:07:30,172.16.0.8,david,FAIL
2026-04-10 09:08:12,172.16.0.8,david,FAIL
2026-04-10 09:10:44,192.168.1.20,emma,SUCCESS
2026-04-10 09:12:01,192.168.1.15,bob,FAIL
2026-04-10 09:15:33,10.0.0.9,frank,SUCCESS
2026-04-10 09:18:45,192.168.1.22,grace,FAIL
2026-04-10 09:19:50,192.168.1.22,grace,SUCCESS
2026-04-10 09:21:05,192.168.1.30,henry,FAIL
2026-04-10 09:22:17,192.168.1.30,henry,FAIL
2026-04-10 09:23:49,192.168.1.30,henry,FAIL
